pair,band,gaia,relab,offset
S_vs_ordinary_chondrite,374,1.0519,0.6093,0.4426
S_vs_ordinary_chondrite,418,0.8261,0.7204,0.1058
S_vs_ordinary_chondrite,462,0.8422,0.809,0.0332
S_vs_ordinary_chondrite,506,0.9117,0.8945,0.0172
S_vs_ordinary_chondrite,550,1.0,1.0,0.0
S_vs_ordinary_chondrite,594,1.043,1.0715,-0.0285
S_vs_ordinary_chondrite,638,1.0823,1.1087,-0.0264
S_vs_ordinary_chondrite,682,1.161,1.1342,0.0268
S_vs_ordinary_chondrite,726,1.1977,1.1449,0.0528
S_vs_ordinary_chondrite,770,1.2196,1.126,0.0936
S_vs_ordinary_chondrite,814,1.2137,1.0727,0.141
S_vs_ordinary_chondrite,858,1.1915,1.0076,0.1839
S_vs_ordinary_chondrite,902,1.1683,0.9632,0.205
S_vs_ordinary_chondrite,946,1.1996,0.9525,0.247
S_vs_ordinary_chondrite,990,1.2988,0.966,0.3328
S_vs_ordinary_chondrite,1034,1.5776,0.9876,0.59
C_vs_CM,374,1.2997,0.7364,0.5633
C_vs_CM,418,1.0077,0.8288,0.1789
C_vs_CM,462,0.9627,0.898,0.0647
C_vs_CM,506,0.958,0.9556,0.0023
C_vs_CM,550,1.0,1.0,0.0
C_vs_CM,594,1.013,1.016,-0.003
C_vs_CM,638,1.0359,1.0159,0.02
C_vs_CM,682,1.0507,1.0097,0.0411
C_vs_CM,726,1.0659,1.0082,0.0577
C_vs_CM,770,1.0586,1.0138,0.0448
C_vs_CM,814,1.0585,1.0215,0.037
C_vs_CM,858,1.0316,1.0227,0.0089
C_vs_CM,902,1.0668,1.0214,0.0454
C_vs_CM,946,1.1038,1.0243,0.0796
C_vs_CM,990,1.1715,1.0297,0.1418
C_vs_CM,1034,1.4364,1.0353,0.4012
V_vs_HED,374,1.0762,0.6359,0.4402
V_vs_HED,418,0.7991,0.7857,0.0134
V_vs_HED,462,0.8292,0.8703,-0.0411
V_vs_HED,506,0.8998,0.9341,-0.0344
V_vs_HED,550,1.0,1.0,0.0
V_vs_HED,594,1.0464,1.0369,0.0095
V_vs_HED,638,1.0992,1.0642,0.0349
V_vs_HED,682,1.1584,1.0916,0.0668
V_vs_HED,726,1.1998,1.108,0.0918
V_vs_HED,770,1.1941,1.0625,0.1317
V_vs_HED,814,1.1122,0.9228,0.1894
V_vs_HED,858,0.9915,0.7601,0.2315
V_vs_HED,902,0.9127,0.6588,0.254
V_vs_HED,946,0.8925,0.6437,0.2488
V_vs_HED,990,1.042,0.7177,0.3243
V_vs_HED,1034,1.3666,0.8554,0.5111
