group,n_templates,n_meteorites,times_top,times_confident,in_separable
ordinary_chondrite,383,302,4335,70,True
CM,278,126,9311,2208,True
howardite,152,101,78,5,True
eucrite,138,83,300,1,True
CV,73,42,28,0,True
ureilite,73,46,1886,1,True
diogenite,67,42,0,0,True
lunar-meteorite,54,18,2,0,True
lodranite-acapulcoite,41,26,819,0,True
EL,37,24,633,0,True
aubrite,29,21,1,0,True
EH,29,18,824,0,True
pallasite,22,4,0,0,False
martian,20,15,0,0,True
CI,16,6,0,0,False
brachinite,15,15,118,1,True
CK,13,9,0,0,False
R,13,10,0,0,False
CO,11,11,0,0,False
CR,11,8,2,0,True
mesosiderite,11,5,0,0,False
