num,d2
433,0.38377431721246147
1036,1.9576277391462196
1620,0.3419156385319271
1627,0.8978593029244978
1685,0.6163556834037573
1917,2.975695154945532
2059,3.700491764423056
2061,5.86211152618341
2062,0.764208809380239
2100,0.18589266262161103
2329,0.6368528829472586
2368,1.2028297535148829
2449,0.293055985906916
3200,0.314065476393493
3352,0.9078565911990851
3552,2.6208440987212205
3554,0.7617601936324258
3691,0.15897275146537262
4055,7.154934095921638
4179,8.716177619245286
4581,3.4321138281583607
5131,1.117702315216072
5189,0.5721623291026388
5626,0.4464117038988981
5645,1.6332326120927174
5653,1.5871447928971425
5863,8.715472549160353
5879,0.29532535395340986
6053,1.420877809708707
6569,59.626737557264356
7088,12.409440247742207
7336,2.0772933523218904
7341,2.1303258525555844
8014,0.6121588732226484
8037,0.5130887227828127
8567,0.8085333881389576
10115,1.3952706465685534
10145,0.46915812180458705
10636,4.958135405741524
11066,3.217530266102888
11398,1.7935516077174904
11405,2.0334805316077937
13353,0.1303282218836474
14402,0.6277086446258253
15745,0.7792295121917439
16834,1.6541372334036206
16960,1.1512729392002656
17182,1.2157281572726895
17274,1.7741273696361999
17511,2.1220439578452424
18882,1.6197972194029921
21374,2.3495670605018493
24475,1.7798849962975902
24761,0.1593191824687919
31345,2.010346126555431
32906,3.017734122324817
34613,1.439864373498967
35396,0.5866259263281257
37336,2.5610076827951724
39572,0.771973367601124
52768,0.28255233272305547
53319,0.767164113210079
53426,21.614797591578327
53435,2.0262491053731555
54789,0.10147293561419277
65679,0.7515268039661138
65690,0.9500518583595474
66272,13.804311024165457
66391,2.376973360519386
67367,2.0508281232639396
68216,0.5232031850245417
68346,4.817019366961265
68347,10.249600383141987
68359,4.339957057384881
85628,2.4373733327131495
85818,1.2695764597807842
89830,1.5656287949535157
90147,3.697119277102346
96631,1.515232364684878
99799,0.7692537194406701
99907,1.3778388139193847
99942,0.5360980311721432
100926,1.70088778581729
102528,0.2693872247474448
106589,2.8798761011089056
112221,0.8439716986685172
136874,9.638405760307085
137032,2.2879380628914596
137084,2.3078863486178456
137108,1.0454135953599284
137120,3.685114707919113
137799,1.7438539134313713
137924,64.34912111064382
138524,2.888733503681607
140158,0.7611163357332502
141053,0.1761832736593296
141354,0.9188095729839812
141498,3.351606259320787
141525,1.4530263866884252
141593,3.3731048629485003
141670,8.329506663387951
142464,2.9523563895316745
143404,1.0943917759246098
143624,0.7201415627823093
144332,6.99639158779623
144898,1.7361927505616732
152931,5.416358372969477
152978,1.7135851618409241
153201,2.0923184542552837
153814,1.9536855420567547
153842,0.47605662468506055
154244,1.6979640299482108
154330,1.7485705555100406
154807,15.322061463508158
154993,1.5538363113950493
155110,0.6370756673731429
159608,2.1683669567998147
162004,1.008394089498211
162082,0.6315200186858829
162173,0.13706495589049003
162510,6.63292740312636
162687,16.466328861172176
162998,5.65953939919038
163348,0.2804180004560353
163373,2.693172101071381
163696,7.2919592774250415
163899,1.4539351587322922
163902,0.3280968379563076
169675,0.5028604017434686
171819,16.604091539743557
173664,2.410884460931482
174050,0.9980873690968319
175706,0.7243933789028077
186822,0.3728861211171977
190166,3.7591514271324145
190208,1.6018777261549466
194126,1.3550270443679402
194386,0.4773455325387375
203015,0.7917882921981887
203217,5.178766714183505
206378,0.8765191449249701
219071,9.266685953241815
220839,0.11874079506477692
226514,0.29913040042868017
237805,1.3723743736813496
242211,0.39373974056798206
242708,53.97055974935717
243025,0.8221095329275175
244670,4.438416119075822
250577,21.700703595089458
250706,7.888800600069626
253841,3.20112448847381
265482,0.7055385639461881
265962,7.72036277095059
275611,5.6724992102250695
283460,0.6614419626473886
285263,0.2656982473751828
297300,37.116445763318765
301964,0.80245267031834
302830,1.8535380959054422
310442,2.317877060331944
311554,1.472857290871445
313276,2.3048578959240844
318411,0.46609787303966355
326291,0.7676408474690959
326683,0.5141389884906388
326777,0.9004524640254603
329340,0.6580106443331639
331471,2.8587503586476846
333888,4.263969550320307
348400,5.017729040495494
349063,1.2984195462426016
354030,0.3833813336225952
355256,1.0820099899701727
357024,18.797542320038893
363599,1.0102718691805213
370307,6.151800561942435
376864,10.425951323072146
380128,3.3185154618659123
380160,3.276939345157756
380359,1.6719020331031316
380981,6.389841712630627
381677,0.32270555242872273
382503,0.8222082793765164
385186,0.7066922143353188
385343,10.880358006809061
388838,10.125665485247588
388945,0.6889400697810026
398188,3.926280609934639
410088,0.22195892276939178
410777,20.338003941120203
410778,14.167826010798455
411165,1.723963319774968
411201,6.247115669326949
413002,2.8371885512563404
413577,1.4083921436056897
414586,1.9647903235462962
414960,15.540072585742259
415029,3.558474430534713
416071,11.402447512560657
416186,1.8026355007626038
416584,1.216496604881259
416591,0.8561907131705175
420302,1.3303717184894532
422699,8.562948325659955
437316,0.31417004169751467
437844,0.80587580757368
438429,0.5797408267887549
438902,3.590519126360121
438955,2.499798820447234
441987,0.9638525823156737
442037,7.189245142565912
442243,0.6967647946486452
443103,0.32504836663623404
444584,1.139093384032814
446833,23.693995669577795
448003,0.48417583173217127
450160,1.2935052550903074
450648,3.657257055779072
450649,1.5247313922195451
452389,0.738253626185857
453778,0.9968143562473452
454100,50.757877854774065
454177,1.446648018872914
455148,2.2622485740122
457260,8.674551172032102
457768,0.5786971667601838
458198,0.7357740719104855
465616,0.7218595837868274
465749,12.490151871616273
467963,7.960563742513729
468583,4.563687965224141
469737,0.9586796059935276
470510,2.530980734931732
471241,0.9613899558056352
474179,0.3010424240019528
475665,3.1629374077676338
477885,2.096204946349689
480004,18.567371957135883
481394,1.3283813587126068
484795,0.37467431298228326
485652,1.0460463622493013
488645,7.715137816387554
489486,3.2199948053186898
492143,1.85434081790288
495615,0.8510421241298163
496005,1.4817300770551407
496816,0.8031001756131083
496817,0.6482381993676141
496818,1.232327209051571
498066,1.1633898707677186
505657,0.7702414324471798
506459,0.9501881217942961
511684,9.960246401958859
512245,1.1440733127690745
515767,1.4203706486491652
518735,0.6180315344703111
523586,4.013939250485956
523631,0.6609847404089478
523667,0.8263456552288895
523788,0.3248776539310937
523811,0.537999318367763
523817,2.855615634299123
525477,1.0752072773499664
526238,1.224183751444391
527715,3.688930391500019
528650,0.6194862166118805
531060,5.103924903501909
