property,n_core,pct_core,source_package,note
orbit,19190,100.0,A1 MPC/SBDB,
h_best,19190,100.0,A1 SBDB>MPCORB,
phase_curve,18307,95.4,GAPC (HG1G2),
gaia_spectrum,19190,100.0,GASP (Gaia DR3),
diameter_best,13273,69.2,A4 AKARI>NEOWISE>IRAS,
albedo_best,13273,69.2,A4 AKARI>NEOWISE>IRAS,
family,7655,39.9,A3 Nesvorny,
period_best,6338,33.0,A2/A9 LCDB/DAMIT,
taxon_any,749,3.9,A5b PDS + GASP-Mahlke,
groundtruth_spectrum,346,1.8,A5 SMASS/MITHNEOS/ECAS,
complete_physical_profile,204,1.1,derived (Phase B),gaia_spectrum AND period_best AND family AND diameter_best AND taxon_any
